abandon,abandoned
luff,luffed
lug,lugged
lull,lulled
lumber,lumbered
lump,lumped
lunch,lunched
lunge,lunged
lurch,lurched
lure,lured
lurk,lurked
lust,lusted
luxuriate,luxuriated
lynch,lynched
macadamize,macadamized
mace,maced
macerate,macerated
machinate,machinated
machine,machined
madden,maddened
magnetise,magnetised
magnetize,magnetized
magnify,magnified
mail,mailed
maim,maimed
mainline,mainlined
mainstream,mainstreamed
maintain,maintained
major,majored
make,made
malfunction,malfunctioned
malign,maligned
malinger,malingered
malt,malted
maltreat,maltreated
mambo,mamboed
man,manned
manacle,manacled
manage,managed
mandate,mandated
maneuver,maneuvered
mangle,mangled
manhandle,manhandled
manicure,manicured
manifest,manifested
manifold,manifolded
manipulate,manipulated
manoeuvre,manoeuvred
mantle,mantled
manufacture,manufactured
manumit,manumitted
manure,manured
map,mapped
mar,marred
maraud,marauded
marble,marbled
marbleize,marbleized
march,marched
marginalize,marginalized
marinade,marinaded
marinate,marinated
mark,marked
market,marketed
maroon,marooned
marry,married
marshal,marshaled
martyr,martyred
marvel,marveled
mascara,mascaraed
mash,mashed
mask,masked
masquerade,masqueraded
mass,massed
massacre,massacred
massage,massaged
master,mastered
mastermind,masterminded
masticate,masticated
masturbate,masturbated
mat,matted
match,matched
mate,mated
materialise,materialised
materialize,materialized
matriculate,matriculated
matt,matted
matte,matted
matter,mattered
maturate,maturated
mature,matured
maul,mauled
maunder,maundered
max,maxed
maximize,maximized
may,might
mean,meant
meander,meandered
measure,measured
mechanize,mechanized
meddle,meddled
mediate,mediated
medicate,medicated
meditate,meditated
meet,met
megaphone,megaphoned
meld,melded
meliorate,meliorated
mellow,mellowed
melt,melted
memorialize,memorialized
memorize,memorized
menace,menaced
mend,mended
menstruate,menstruated
mention,mentioned
mentor,mentored
meow,meowed
mercerize,mercerized
merchandise,merchandised
merchandize,merchandized
merge,merged
merit,merited
mesh,meshed
mesmerize,mesmerized
mess,messed
message,messaged
metabolize,metabolized
metamorphose,metamorphosed
metastasize,metastasized
mete,meted
meter,metered
methinks,methought
metre,metred
metricate,metricated
metricize,metricized
mew,mewed
mewl,mewled
microfilm,microfilmed
micromanage,micromanaged
microwave,microwaved
midwife,midwifed
miff,miffed
migrate,migrated
mike,miked
mildew,mildewed
militarize,militarized
militate,militated
milk,milked
mill,milled
milt,milted
mime,mimed
mimeograph,mimeographed
mimic,mimicked
mince,minced
mind,minded
mine,mined
mingle,mingled
miniaturize,miniaturized
minimize,minimized
minister,ministered
minor,minored
mint,minted
minute,minuted
mire,mired
mirror,mirrored
misaddress,misaddressed
misapply,misapplied
misapprehend,misapprehended
misappropriate,misappropriated
misbehave,misbehaved
miscalculate,miscalculated
miscall,miscalled
miscarry,miscarried
miscast,miscast
misconceive,misconceived
misconduct,misconducted
misconstrue,misconstrued
miscount,miscounted
miscue,miscued
misdeal,misdealt
misdiagnose,misdiagnosed
misdirect,misdirected
misdo,misdid
misfile,misfiled
misfire,misfired
misfit,misfitted
misgovern,misgoverned
misguide,misguided
mishandle,mishandled
mishear,misheard
misidentify,misidentified
misinform,misinformed
misinterpret,misinterpreted
misjudge,misjudged
mislabel,mislabeled
mislay,mislaid
mislead,misled
mismanage,mismanaged
mismatch,mismatched
misname,misnamed
misplace,misplaced
misplay,misplayed
misprint,misprinted
mispronounce,mispronounced
misquote,misquoted
misread,misread
misreport,misreported
misrepresent,misrepresented
misrule,misruled
miss,missed
misshape,misshaped
misspeak,misspoke
misspell,misspelled
misspend,misspent
misstate,misstated
mist,misted
mistake,mistook
mistime,mistimed
mistreat,mistreated
mistrust,mistrusted
misunderstand,misunderstood
misuse,misused
miter,mitered
mitigate,mitigated
mitre,mitred
mix,mixed
moan,moaned
mob,mobbed
mobilize,mobilized
mock,mocked
model,modeled
moderate,moderated
modernize,modernized
modify,modified
modulate,modulated
moil,moiled
moisten,moistened
moisturize,moisturized
mold,molded
molder,moldered
molest,molested
mollify,mollified
mollycoddle,mollycoddled
molt,molted
monetize,monetized
monger,mongered
monitor,monitored
monkey,monkeyed
monogram,monogrammed
monopolize,monopolized
moo,mooed
mooch,mooched
moon,mooned
moonlight,moonlighted
moor,moored
moot,mooted
mop,mopped
mope,moped
moralize,moralized
morph,morphed
mortar,mortared
mortgage,mortgaged
mortice,morticed
mortify,mortified
mortise,mortised
mosey,moseyed
mosh,moshed
mothball,mothballed
mother,mothered
motion,motioned
motivate,motivated
motor,motored
motorbike,motorbiked
motorboat,motorboated
motorcycle,motorcycled
motorize,motorized
mottle,mottled
mould,moulded
moulder,mouldered
moult,moulted
mound,mounded
mount,mounted
mountaineer,mountaineered
mourn,mourned
mouse,moused
mousetrap,mousetrapped
mousse,moussed
mouth,mouthed
move,moved
mow,mowed
muck,mucked
muckrake,muckraked
muddle,muddled
muddy,muddied
muff,muffed
muffle,muffled
mug,mugged
mulch,mulched
mulct,mulcted
mull,mulled
multiplex,multiplexed
multiply,multiplied
mumble,mumbled
mummify,mummified
munch,munched
munition,munitioned
murder,murdered
murmur,murmured
muscle,muscled
muse,mused
mush,mushed
mushroom,mushroomed
muss,mussed
muster,mustered
mutate,mutated
mute,muted
mutilate,mutilated
mutiny,mutinied
mutter,muttered
muzzle,muzzled
mystify,mystified
mythologize,mythologized
nab,nabbed
nag,nagged
nail,nailed
name,named
namedrop,namedropped
nap,napped
napalm,napalmed
narcotize,narcotized
nark,narked
narrate,narrated
narrow,narrowed
nasalize,nasalized
nationalize,nationalized
natter,nattered
naturalize,naturalized
nauseate,nauseated
navigate,navigated
near,neared
neaten,neatened
necessitate,necessitated
neck,necked
need,needed
needle,needled
negate,negated
negative,negatived
neglect,neglected
negotiate,negotiated
neigh,neighed
neighbor,neighbored
neighbour,neighboured
nerve,nerved
nest,nested
nestle,nestled
net,netted
nett,netted
nettle,nettled
network,networked
neuter,neutered
neutralize,neutralized
nibble,nibbled
nick,nicked
nicker,nickered
nickname,nicknamed
niggle,niggled
nightclub,nightclubbed
nip,nipped
nitpick,nitpicked
nitrate,nitrated
nix,nixed
nod,nodded
noise,noised
nominate,nominated
nonplus,nonplussed
noodle,noodled
normalize,normalized
nose,nosed
nosedive,nosedived
nosh,noshed
notarize,notarized
notate,notated
notch,notched
note,noted
notice,noticed
notify,notified
nourish,nourished
novelize,novelized
nucleate,nucleated
nudge,nudged
nuke,nuked
nullify,nullified
numb,numbed
number,numbered
numerate,numerated
nurse,nursed
nurture,nurtured
nut,nutted
nuzzle,nuzzled
oar,oared
obey,obeyed
obfuscate,obfuscated
object,objected
objectify,objectified
objurgate,objurgated
obligate,obligated
oblige,obliged
obliterate,obliterated
obscure,obscured
observe,observed
obsess,obsessed
obsolesce,obsolesced
obsolete,obsoleted
obstruct,obstructed
obtain,obtained
obtrude,obtruded
obviate,obviated
occasion,occasioned
occlude,occluded
occupy,occupied
occur,occurred
off,offed
offend,offended
offer,offered
officiate,officiated
offload,offloaded
offset,offset
ogle,ogled
oil,oiled
oink,oinked
okay,okayed
omit,omitted
ooh,oohed
ooze,oozed
opaque,opaqued
ope,oped
open,opened
operate,operated
opine,opined
oppose,opposed
oppress,oppressed
opt,opted
optimize,optimized
option,optioned
orate,orated
orbit,orbited
orchestrate,orchestrated
ordain,ordained
order,ordered
organize,organized
orient,oriented
orientate,orientated
originate,originated
ornament,ornamented
orphan,orphaned
oscillate,oscillated
osculate,osculated
ossify,ossified
ostracize,ostracized
oust,ousted
out,outed
outargue,outargued
outbalance,outbalanced
outbid,outbid
outboast,outboasted
outbox,outboxed
outclass,outclassed
outcrop,outcropped
outdistance,outdistanced
outdo,outdid
outdraw,outdrew
outface,outfaced
outfight,outfought
outfit,outfitted
outflank,outflanked
outfox,outfoxed
outgrow,outgrew
outguess,outguessed
outgun,outgunned
outhit,outhit
outlast,outlasted
outlaw,outlawed
outlay,outlaid
outline,outlined
outlive,outlived
outmaneuver,outmaneuvered
outmanoeuvre,outmanoeuvred
outmatch,outmatched
outnumber,outnumbered
outperform,outperformed
outplace,outplaced
outplay,outplayed
outpoint,outpointed
outproduce,outproduced
output,outputted
outrace,outraced
outrage,outraged
outrank,outranked
outreach,outreached
outrun,outran
outscore,outscored
outsell,outsold
outshine,outshone
outshout,outshouted
outsmart,outsmarted
outsource,outsourced
outspend,outspent
outspread,outspread
outstay,outstayed
outstretch,outstretched
outstrip,outstripped
outvote,outvoted
outwear,outwore
outweigh,outweighed
outwit,outwitted
outwork,outworked
overachieve,overachieved
overact,overacted
overarm,overarmed
overawe,overawed
overbalance,overbalanced
overbear,overbore
overbid,overbid
overbook,overbooked
overbuild,overbuilt
overburden,overburdened
overbuy,overbought
overcapitalize,overcapitalized
overcast,overcast
overcharge,overcharged
overcloud,overclouded
overcome,overcame
overcompensate,overcompensated
overcook,overcooked
overcrowd,overcrowded
overdecorate,overdecorated
overdevelop,overdeveloped
overdo,overdid
overdose,overdosed
overdraw,overdrew
overdress,overdressed
overdub,overdubbed
overeat,overate
overemphasize,overemphasized
overestimate,overestimated
overexcite,overexcited
overexercise,overexercised
overexert,overexerted
overexpose,overexposed
overextend,overextended
overfeed,overfed
overfill,overfilled
overflow,overflowed
overfly,overflew
overgeneralize,overgeneralized
overgraze,overgrazed
overgrow,overgrew
overhang,overhung
overhaul,overhauled
overhear,overheard
overheat,overheated
overindulge,overindulged
overjoy,overjoyed
overlap,overlapped
overlay,overlaid
overlie,overlay
overload,overloaded
overlook,overlooked
overmaster,overmastered
overpay,overpaid
overplay,overplayed
overpopulate,overpopulated
overpower,overpowered
overpraise,overpraised
overprice,overpriced
overprint,overprinted
overproduce,overproduced
overprotect,overprotected
overrate,overrated
overreach,overreached
overreact,overreacted
override,overrode
overrule,overruled
overrun,overran
oversee,oversaw
oversell,oversold
overshadow,overshadowed
+overshare,overshared
overshoot,overshot
oversimplify,oversimplified
oversleep,overslept
overspecialize,overspecialized
overspend,overspent
overspill,overspilled
overspread,overspread
overstate,overstated
overstay,overstayed
overstep,overstepped
overstimulate,overstimulated
overstock,overstocked
oversubscribe,oversubscribed
oversupply,oversupplied
overtake,overtook
overtax,overtaxed
+overthink,overthought
overthrow,overthrew
overtire,overtired
overturn,overturned
overuse,overused
overvalue,overvalued
overwhelm,overwhelmed
overwinter,overwintered
overwork,overworked
ovulate,ovulated
owe,owed
own,owned
oxidize,oxidized
oxygenate,oxygenated
pace,paced
pacify,pacified
pack,packed
package,packaged
pad,padded
paddle,paddled
paddock,paddocked
padlock,padlocked
page,paged
paginate,paginated
pain,pained
paint,painted
pair,paired
pal,palled
palatalize,palatalized
palaver,palavered
pale,paled
pall,palled
palliate,palliated
palm,palmed
palpate,palpated
palpitate,palpitated
palsy,palsied
pamper,pampered
pamphlet,pamphleted
pan,panned
pancake,pancaked
pander,pandered
panel,paneled
panhandle,panhandled
panic,panicked
pant,panted
pantomime,pantomimed
paper,papered
par,parred
parachute,parachuted
parade,paraded
paragraph,paragraphed
parallel,paralleled
paralyse,paralysed
paralyze,paralyzed
paraphrase,paraphrased
parboil,parboiled
parcel,parceled
parch,parched
pardon,pardoned
pare,pared
parent,parented
parenthesize,parenthesized
park,parked
parlay,parlayed
parley,parleyed
parody,parodied
parole,paroled
parquet,parqueted
parrot,parroted
parry,parried
parse,parsed
part,parted
partake,partook
participate,participated
particularize,particularized
partition,partitioned
partner,partnered
party,partied
pass,passed
paste,pasted
pasteurize,pasteurized
pasture,pastured
pat,patted
patch,patched
patent,patented
patrol,patrolled
patronize,patronized
patter,pattered
pattern,patterned
pauperize,pauperized
pause,paused
pave,paved
paw,pawed
pawn,pawned
pay,paid
peak,peaked
peal,pealed
pearl,pearled
pebble,pebbled
peck,pecked
peculate,peculated
pedal,pedaled
peddle,peddled
pedestrianize,pedestrianized
pedicure,pedicured
pee,peed
peek,peeked
peel,peeled
peep,peeped
peer,peered
peeve,peeved
peg,pegged
pellet,pelleted
pelt,pelted
pen,penned
penalize,penalized
pencil,penciled
pend,pended
penetrate,penetrated
pension,pensioned
people,peopled
pep,pepped
pepper,peppered
perambulate,perambulated
perceive,perceived
perch,perched
percolate,percolated
peregrinate,peregrinated
perfect,perfected
perforate,perforated
perform,performed
perfume,perfumed
peril,periled
perish,perished
perjure,perjured
perk,perked
perm,permed
permeate,permeated
permit,permitted
permute,permuted
peroxide,peroxided
perpetrate,perpetrated
perpetuate,perpetuated
perplex,perplexed
persecute,persecuted
persevere,persevered
persist,persisted
personalize,personalized
personify,personified
perspire,perspired
persuade,persuaded
pertain,pertained
perturb,perturbed
peruse,perused
pervade,pervaded
pervert,perverted
pester,pestered
pestle,pestled
pet,petted
peter,petered
petition,petitioned
petrify,petrified
pettifog,pettifogged
phantasy,phantasied
phase,phased
philander,philandered
philosophize,philosophized
phone,phoned
phoney,phoneyed
phony,phonied
photo,photoed
photocopy,photocopied
photoengrave,photoengraved
photograph,photographed
photostat,photostatted
photosynthesize,photosynthesized
phrase,phrased
physic,physicked
pi,pied
pick,picked
pickaback,pickabacked
pickax,pickaxed
pickaxe,pickaxed
picket,picketed
pickle,pickled
picnic,picnicked
picture,pictured
piddle,piddled
piece,pieced
pierce,pierced
pig,pigged
pigeonhole,pigeonholed
piggyback,piggybacked
pike,piked
pile,piled
pilfer,pilfered
pill,pilled
pillage,pillaged
pillory,pilloried
pillow,pillowed
pilot,piloted
pimp,pimped
pin,pinned
pinch,pinched
pine,pined
ping,pinged
pinion,pinioned
pink,pinked
pinpoint,pinpointed
pinwheel,pinwheeled
pioneer,pioneered
pip,pipped
pipe,piped
pique,piqued
pirate,pirated
pirouette,pirouetted
piss,pissed
pit,pitted
pitch,pitched
pitchfork,pitchforked
pity,pitied
pivot,pivoted
placard,placarded
placate,placated
place,placed
placekick,placekicked
plagiarize,plagiarized
plague,plagued
plait,plaited
plan,planned
plane,planed
plank,planked
plant,planted
plash,plashed
plaster,plastered
plasticize,plasticized
plat,platted
plate,plated
plateau,plateaued
platform,platformed
platoon,platooned
play,played
playact,playacted
plead,pleaded
please,pleased
pleasure,pleasured
pleat,pleated
pledge,pledged
plight,plighted
plod,plodded
plop,plopped
plot,plotted
plough,ploughed
plow,plowed
pluck,plucked
plug,plugged
plumb,plumbed
plume,plumed
plummet,plummeted
plump,plumped
plunder,plundered
plunge,plunged
plunk,plunked
pluralize,pluralized
ply,plied
poach,poached
pocket,pocketed
pockmark,pockmarked
pod,podded
+podcast,podcast
point,pointed
poise,poised
poison,poisoned
poke,poked
polarize,polarized
pole,poled
police,policed
polish,polished
politicize,politicized
polka,polkaed
poll,polled
pollinate,pollinated
pollute,polluted
polygraph,polygraphed
polymerize,polymerized
pomade,pomaded
pommel,pommeled
ponder,pondered
pontificate,pontificated
pooh,poohed
pool,pooled
poop,pooped
pop,popped
popularize,popularized
populate,populated
pore,pored
porpoise,porpoised
port,ported
portage,portaged
portend,portended
portion,portioned
portray,portrayed
pose,posed
posit,posited
position,positioned
possess,possessed
post,posted
postdate,postdated
postmark,postmarked
postpone,postponed
postulate,postulated
posture,postured
pot,potted
pother,pothered
pothole,potholed
potter,pottered
pouch,pouched
poultice,poulticed
pounce,pounced
pound,pounded
pour,poured
pout,pouted
powder,powdered
power,powered
powwow,powwowed
practice,practiced
practise,practised
praise,praised
prance,pranced
prate,prated
prattle,prattled
prawn,prawned
pray,prayed
preach,preached
prearrange,prearranged
precancel,precanceled
precede,preceded
precipitate,precipitated
precis,precised
preclude,precluded
preconceive,preconceived
precondition,preconditioned
precook,precooked
predate,predated
predecease,predeceased
predesignate,predesignated
predestine,predestined
predetermine,predetermined
predicate,predicated
predict,predicted
predigest,predigested
predispose,predisposed
predominate,predominated
preempt,preempted
preen,preened
preexist,preexisted
prefab,prefabbed
prefabricate,prefabricated
preface,prefaced
prefer,preferred
prefigure,prefigured
prefix,prefixed
preform,preformed
preheat,preheated
prejudge,prejudged
prejudice,prejudiced
premeditate,premeditated
premier,premiered
premiere,premiered
premise,premised
premix,premixed
preoccupy,preoccupied
preordain,preordained
prep,prepped
prepackage,prepackaged
prepare,prepared
prepay,prepaid
preponderate,preponderated
prepossess,prepossessed
prerecord,prerecorded
preregister,preregistered
presage,presaged
prescribe,prescribed
present,presented
preserve,preserved
preset,preset
preshrink,preshrank
preside,presided
presort,presorted
press,pressed
pressure,pressured
pressurize,pressurized
presume,presumed
presuppose,presupposed
pretend,pretended
pretest,pretested
prettify,prettified
pretty,prettied
prevail,prevailed
prevaricate,prevaricated
prevent,prevented
preview,previewed
prey,preyed
price,priced
prick,pricked
prickle,prickled
pride,prided
prime,primed
primp,primped
print,printed
prioritize,prioritized
prise,prised
privatize,privatized
privilege,privileged
prize,prized
probate,probated
probe,probed
proceed,proceeded
process,processed
procession,processioned
proclaim,proclaimed
procrastinate,procrastinated
procreate,procreated
proctor,proctored
procure,procured
prod,prodded
produce,produced
profane,profaned
profess,professed
professionalize,professionalized
proffer,proffered
profile,profiled
profit,profited
profiteer,profiteered
prognosticate,prognosticated
program,programmed
programme,programmed
progress,progressed
prohibit,prohibited
project,projected
prolapse,prolapsed
proliferate,proliferated
prolong,prolonged
promenade,promenaded
promise,promised
promo,promoed
promote,promoted
prompt,prompted
promulgate,promulgated
pronounce,pronounced
proof,proofed
proofread,proofread
prop,propped
propagandize,propagandized
propagate,propagated
propel,propelled
prophesy,prophesied
propitiate,propitiated
proportion,proportioned
propose,proposed
proposition,propositioned
propound,propounded
prorate,prorated
prorogue,prorogued
proscribe,proscribed
prosecute,prosecuted
proselyte,proselyted
proselytize,proselytized
prospect,prospected
prosper,prospered
prostitute,prostituted
prostrate,prostrated
protect,protected
protest,protested
protract,protracted
protrude,protruded
prove,proved
provide,provided
provision,provisioned
provoke,provoked
prowl,prowled
prune,pruned
pry,pried
psych,psyched
psyche,psyched
psychoanalyze,psychoanalyzed
publicize,publicized
publish,published
pucker,puckered
puddle,puddled
puff,puffed
puke,puked
pule,puled
pull,pulled
pulp,pulped
pulsate,pulsated
pulse,pulsed
pulverize,pulverized
pummel,pummeled
pump,pumped
pun,punned
punch,punched
punctuate,punctuated
puncture,punctured
punish,punished
punt,punted
pup,pupped
purchase,purchased
puree,pureed
purge,purged
purify,purified
purl,purled
purloin,purloined
purport,purported
purpose,purposed
purr,purred
purse,pursed
pursue,pursued
purvey,purveyed
push,pushed
pussyfoot,pussyfooted
put,put
putrefy,putrefied
putt,putted
putter,puttered
putty,puttied
puzzle,puzzled
+pwn,pwned
pyramid,pyramided
quack,quacked
quadruple,quadrupled
quadruplicate,quadruplicated
quaff,quaffed
quail,quailed
quake,quaked
qualify,qualified
quantify,quantified
quarantine,quarantined
quarrel,quarreled
quarry,quarried
quarter,quartered
quarterback,quarterbacked
quash,quashed
quaver,quavered
queen,queened
queer,queered
quell,quelled
quench,quenched
query,queried
quest,quested
question,questioned
queue,queued
quibble,quibbled
quicken,quickened
quiet,quieted
quilt,quilted
quintuple,quintupled
quip,quipped
quirk,quirked
quit,quit
quiver,quivered
quiz,quizzed
quoit,quoited
quote,quoted
rabbet,rabbeted
race,raced
rack,racked
racket,racketed
racketeer,racketeered
radiate,radiated
radicalize,radicalized
radio,radioed
radiotelegraph,radiotelegraphed
raffle,raffled
raft,rafted
rag,ragged
rage,raged
raid,raided
rail,railed
railroad,railroaded
rain,rained
raise,raised
rake,raked
rally,rallied
ram,rammed
ramble,rambled
ramify,ramified
rampage,rampaged
ramrod,ramrodded
ranch,ranched
randomize,randomized
range,ranged
rank,ranked
rankle,rankled
ransack,ransacked
ransom,ransomed
rant,ranted
rap,rapped
rape,raped
rappel,rappelled
rare,rared
rarefy,rarefied
rasp,rasped
rat,ratted
ratchet,ratcheted
rate,rated
ratify,ratified
ratiocinate,ratiocinated
ration,rationed
rationalize,rationalized
rattle,rattled
ravage,ravaged
rave,raved
ravel,raveled
raven,ravened
ravish,ravished
raze,razed
razz,razzed
reabsorb,reabsorbed
reach,reached
reacquaint,reacquainted
reacquire,reacquired
react,reacted
reactivate,reactivated
read,read
readdress,readdressed
readjust,readjusted
readmit,readmitted
readopt,readopted
ready,readied
reaffirm,reaffirmed
realign,realigned
realize,realized
reallocate,reallocated
ream,reamed
reanalyze,reanalyzed
reanimate,reanimated
reap,reaped
reappear,reappeared
reapply,reapplied
reappoint,reappointed
reapportion,reapportioned
reappraise,reappraised
rear,reared
rearm,rearmed
rearrange,rearranged
rearrest,rearrested
reascend,reascended
reason,reasoned
reassemble,reassembled
reassert,reasserted
reassess,reassessed
reassign,reassigned
reassure,reassured
reattach,reattached
reattain,reattained
reattempt,reattempted
reauthorize,reauthorized
reawaken,reawakened
rebate,rebated
rebel,rebelled
rebid,rebid
rebind,rebound
reboil,reboiled
reboot,rebooted
rebound,rebounded
rebroadcast,rebroadcast
rebuff,rebuffed
rebuild,rebuilt
rebuke,rebuked
rebury,reburied
rebut,rebutted
recalculate,recalculated
recall,recalled
recant,recanted
recap,recapped
recapitalize,recapitalized
recapitulate,recapitulated
recapture,recaptured
recast,recast
recede,receded
receipt,receipted
receive,received
recess,recessed
recharge,recharged
recharter,rechartered
recheck,rechecked
rechristen,rechristened
reciprocate,reciprocated
recirculate,recirculated
recite,recited
reckon,reckoned
reclaim,reclaimed
reclassify,reclassified
recline,reclined
recognize,recognized
recoil,recoiled
recollect,recollected
recolonize,recolonized
recolor,recolored
recombine,recombined
recommence,recommenced
recommend,recommended
recommission,recommissioned
recommit,recommitted
recompense,recompensed
recompose,recomposed
recompute,recomputed
reconcile,reconciled
recondition,reconditioned
reconfirm,reconfirmed
reconnect,reconnected
reconnoiter,reconnoitered
reconnoitre,reconnoitred
reconquer,reconquered
reconsecrate,reconsecrated
reconsider,reconsidered
reconsign,reconsigned
reconstitute,reconstituted
reconstruct,reconstructed
recontact,recontacted
recontaminate,recontaminated
reconvene,reconvened
reconvert,reconverted
recook,recooked
recopy,recopied
record,recorded
recount,recounted
recoup,recouped
recover,recovered
recreate,recreated
recriminate,recriminated
recross,recrossed
recrudesce,recrudesced
recruit,recruited
recrystallize,recrystallized
rectify,rectified
recuperate,recuperated
recur,recurred
recycle,recycled
redact,redacted
redden,reddened
redecorate,redecorated
rededicate,rededicated
redeem,redeemed
redefine,redefined
redeliver,redelivered
redeploy,redeployed
redeposit,redeposited
redesign,redesigned
redetermine,redetermined
redevelop,redeveloped
redial,redialed
redirect,redirected
rediscover,rediscovered
redissolve,redissolved
redistribute,redistributed
redistrict,redistricted
redivide,redivided
redo,redid
redouble,redoubled
redound,redounded
redraft,redrafted
redraw,redrew
redress,redressed
reduce,reduced
reduplicate,reduplicated
redye,redyed
reecho,reechoed
reedit,reedited
reeducate,reeducated
reef,reefed
reek,reeked
reel,reeled
reelect,reelected
reembark,reembarked
reembody,reembodied
reemerge,reemerged
reemphasize,reemphasized
reemploy,reemployed
reenact,reenacted
reenforce,reenforced
reengage,reengaged
reenlist,reenlisted
reenter,reentered
reequip,reequipped
reestablish,reestablished
reevaluate,reevaluated
reeve,rove
reexamine,reexamined
reexplain,reexplained
reexport,reexported
ref,reffed
reface,refaced
refashion,refashioned
refasten,refastened
refer,referred
referee,refereed
reference,referenced
refile,refiled
refill,refilled
refinance,refinanced
refine,refined
refinish,refinished
refit,refitted
reflect,reflected
refocus,refocused
refold,refolded
reforest,reforested
reforge,reforged
reform,reformed
reformulate,reformulated
refortify,refortified
refract,refracted
refrain,refrained
refreeze,refroze
refresh,refreshed
refrigerate,refrigerated
refuel,refueled
refund,refunded
refurbish,refurbished
refurnish,refurnished
refuse,refused
refute,refuted
regain,regained
regale,regaled
regard,regarded
regather,regathered
regenerate,regenerated
regiment,regimented
register,registered
regrade,regraded
regress,regressed
regret,regretted
regrind,reground
regroup,regrouped
regrow,regrew
regularise,regularised
regularize,regularized
regulate,regulated
regurgitate,regurgitated
rehab,rehabbed
rehabilitate,rehabilitated
rehang,rehanged
rehash,rehashed
rehear,reheard
rehearse,rehearsed
reheat,reheated
rehire,rehired
rehouse,rehoused
reign,reigned
reignite,reignited
reimburse,reimbursed
reimpose,reimposed
rein,reined
reincarnate,reincarnated
reincorporate,reincorporated
reinfect,reinfected
reinforce,reinforced
reinoculate,reinoculated
reinsert,reinserted
reinspect,reinspected
reinstate,reinstated
reintegrate,reintegrated
reinterpret,reinterpreted
reintroduce,reintroduced
reinvent,reinvented
reinvest,reinvested
reinvigorate,reinvigorated
reissue,reissued
reiterate,reiterated
reject,rejected
rejoice,rejoiced
rejoin,rejoined
rejudge,rejudged
rejuvenate,rejuvenated
rekindle,rekindled
relabel,relabeled
relapse,relapsed
relate,related
relaunch,relaunched
relax,relaxed
relay,relayed
relearn,relearned
release,released
relegate,relegated
relent,relented
relieve,relieved
relight,relighted
reline,relined
relinquish,relinquished
relish,relished
relive,relived
reload,reloaded
relocate,relocated
rely,relied
remain,remained
remake,remade
remand,remanded
remap,remapped
remark,remarked
remarry,remarried
remeasure,remeasured
remedy,remedied
remelt,remelted
remember,remembered
remigrate,remigrated
remind,reminded
reminisce,reminisced
remit,remitted
remix,remixed
remodel,remodeled
remold,remolded
remonstrate,remonstrated
+remortgage,remortgaged
remount,remounted
remove,removed
remunerate,remunerated
rename,renamed
rend,rent
render,rendered
rendezvous,rendezvoused
renege,reneged
renegotiate,renegotiated
renew,renewed
renominate,renominated
renounce,renounced
renovate,renovated
rent,rented
renumber,renumbered
reoccupy,reoccupied
reoccur,reoccurred
reopen,reopened
reorder,reordered
+reorg,reorged
reorganize,reorganized
reorient,reoriented
repack,repacked
repackage,repackaged
repaint,repainted
repair,repaired
repatriate,repatriated
repave,repaved
repay,repaid
repeal,repealed
repeat,repeated
repel,repelled
repent,repented
rephotograph,rephotographed
rephrase,rephrased
repine,repined
replace,replaced
replant,replanted
replay,replayed
replenish,replenished
replicate,replicated
reply,replied
repopulate,repopulated
report,reported
repose,reposed
repossess,repossessed
reprehend,reprehended
represent,represented
repress,repressed
reprice,repriced
reprieve,reprieved
reprimand,reprimanded
reprint,reprinted
reprise,reprised
reproach,reproached
reprocess,reprocessed
reproduce,reproduced
reprogram,reprogrammed
reprove,reproved
republish,republished
repudiate,repudiated
repulse,repulsed
repurchase,repurchased
repute,reputed
request,requested
require,required
requisition,requisitioned
requite,requited
reread,reread
rerecord,rerecorded
reroute,rerouted
rerun,reran
reschedule,rescheduled
rescind,rescinded
rescue,rescued
reseal,resealed
research,researched
reseed,reseeded
resell,resold
resemble,resembled
resent,resented
reserve,reserved
reset,reset
resettle,resettled
resew,resewed
reshape,reshaped
resharpen,resharpened
reship,reshipped
reshuffle,reshuffled
reside,resided
resign,resigned
resist,resisted
resole,resoled
resolve,resolved
resonate,resonated
resort,resorted
resound,resounded
resource,resourced
resow,resowed
respect,respected
respell,respelled
respire,respired
respond,responded
respray,resprayed
rest,rested
restaff,restaffed
restart,restarted
restate,restated
restitch,restitched
restock,restocked
restore,restored
restrain,restrained
restrengthen,restrengthened
restrict,restricted
restring,restrung
restructure,restructured
restudy,restudied
restyle,restyled
resubmit,resubmitted
resubscribe,resubscribed
result,resulted
resume,resumed
resupply,resupplied
resurface,resurfaced
resurrect,resurrected
resurvey,resurveyed
resuscitate,resuscitated
retail,retailed
retain,retained
retake,retook
retaliate,retaliated
retard,retarded
retch,retched
reteach,retaught
retell,retold
retest,retested
rethink,rethought
retie,retied
retire,retired
retool,retooled
retort,retorted
retouch,retouched
retrace,retraced
retract,retracted
retrain,retrained
retreat,retreated
retrench,retrenched
retrieve,retrieved
retrofire,retrofired
retrofit,retrofitted
retrograde,retrograded
retrogress,retrogressed
retrospect,retrospected
retry,retried
return,returned
+retweet,retweeted
retype,retyped
reunify,reunified
reunite,reunited
reupholster,reupholstered
reuse,reused
rev,revved
revalue,revalued
revamp,revamped
reveal,revealed
revel,reveled
revenge,revenged
reverberate,reverberated
revere,revered
reverence,reverenced
reverse,reversed
revert,reverted
review,reviewed
revile,reviled
